PERMIT_TYPE,PERMIT#,PERMIT_RSN,PROJECT_NAME,LOCATION,EXPIRATION,CONTRACTOR,PHONE#,TOTAL_DAYS
Temporary Right of Way Use Permit,2019-015174 RW,12126758,GFT/B Robsinson - Alcott Ave 2600 blks - Areial Install,2700-2715 ALCOTT LN,4/26/19,B Robinson Inc.,5128978828,1
Temporary Right of Way Use Permit,2019-015175 RW,12126759,GFT/B Robinson - Riddle Road 2600 blks  - Aerial Install,2622-2633 RIDDLE RD,4/26/19,B Robinson Inc.,5128978828,1
Temporary Right of Way Use Permit,2019-015178 RW,12126762,GFT/B Robinson - Gail Rd 10200 blks - Aerial Install,10200-10325 GAIL RD,4/13/19,B Robinson Inc.,5128978828,1
Temporary Right of Way Use Permit,2019-015181 RW,12126765,GFT/B Robinson - Oak Valley Rd 2100 blks - Aerial Install,2100-2317 OAK VALLEY RD,4/26/19,B Robinson Inc.,5128978828,1
Temporary Right of Way Use Permit,2019-015182 RW,12126766,GFT/B Robinson - Old Manchaca Rd 10300 blks - Aerial Install,10304-10305 OLD MANCHACA RD,4/26/19,B Robinson Inc.,5128978828,1
Temporary Right of Way Use Permit,2019-015187 RW,12126771,GFT/B Robinson - Slaughter Lane 2000 blks - Aerial Install,2001-2015 W SLAUGHTER LN,4/26/19,B Robinson Inc.,5128978828,1
Temporary Right of Way Use Permit,2019-039630 RW,12155659,MCI / MASTEC - E ALPINE RD 100-230 - Install Flex,100-230 E ALPINE RD,4/12/19,MasTec North America Inc.,5124766777,1
Temporary Right of Way Use Permit,2019-036917 RW,12152419,AEU - Stonelake Blvd 9700-9800 - Install switchgear & access MH,9701-9809 STONELAKE BLVD,6/28/19,Austin Energy,5125057576,1
Temporary Right of Way Use Permit,2019-049436 RW,12167310,AEU / MASTEC - N PLEASANT VALLEY RD 600 BLK - STLT FLEX,664-726 N PLEASANT VALLEY RD,4/12/19,MasTec North America Inc.,5124766777,1
Temporary Right of Way Use Permit,2019-013636 RW,12125028,AEU - E RIVERSIDE DR 1900 BLK - REPLACING CABLE,1818-1930 E RIVERSIDE DR,4/25/19,,5125057273,1
Temporary Right of Way Use Permit,2019-041741 RW,12158130,AEU/MASTEC - Willow St. 2200 blk (Alley) - WR188248,2209 E CESAR CHAVEZ ST,4/20/19,MasTec North America Inc.,5124766777,1
Temporary Right of Way Use Permit,2019-015188 RW,12126772,GFT/B Robinson - Allred Dr 2200 blks - Aerial Install,2000-2322 ALLRED DR,4/26/19,B Robinson Inc.,5128978828,1
Temporary Right of Way Use Permit,2019-015179 RW,12126763,GFT/B Robinson - Gail Rd 9900 blks - Aerial Install,9900-10114 GAIL RD,4/16/19,B Robinson Inc.,5128978828,1
Temporary Right of Way Use Permit,2019-015180 RW,12126764,GFT/B Robinson - Wommack Rd 10200 blks - Aerial Install,10200-10321 WOMMACK RD,4/26/19,B Robinson Inc.,5128978828,1
Temporary Right of Way Use Permit,2019-015186 RW,12126770,GFT/B Robinson - Riddle Rd 2100 blks - Aerial Install,2100-2303 RIDDLE RD,4/26/19,B Robinson Inc.,5128978828,1
Temporary Right of Way Use Permit,2019-021612 RW,12134394,Greystar - 2900-2925 E 17TH ST - Crane,2900-2925 E 17TH ST,4/22/19,Greystar  Construction,5124853635,1
Temporary Right of Way Use Permit,2019-038392 RW,12154178,Extenet/Corbel - Oltorf 1800-2500 blk - Manhole Access,1800-1840 E OLTORF ST,4/19/19,Corbel Communications Industries LLC,2674315269,1
Temporary Right of Way Use Permit,2019-047431 RW,12164862,GRA / SLP - WEST LYNN ST 1600 BLK - AERIAL TRANSITION,1600-1621 WEST LYNN ST,5/9/19,LJA Engineering,5124394719,1
Temporary Right of Way Use Permit,2019-039676 RW,12155709,AEU/MASTEC - Oakmont Blvd 3500 blk - WR189613,3500-3517 OAKMONT BLVD,4/20/19,MasTec North America Inc.,5124766777,1
Temporary Right of Way Use Permit,2019-044099 RW,12160892,TFW - W 6th St 300 Blk - CANOPY REPAIR,300-321 W 6TH ST,4/19/19,Texas Fifth Wall Roofing,5129263940,1
Temporary Right of Way Use Permit,2019-043822 RW,12160497,AEU / MASTEC - LAVACA ST 300 BLK - M/H access ,300-317 LAVACA ST,4/14/19,MasTec North America Inc.,5124766777,1
Temporary Right of Way Use Permit,2019-046435 RW,12163625,CC - CONGRESS AVE 800 BLK - SmallCell Mock up Lower shroud install,800-823 CONGRESS AVE,4/12/19,,9724579145,1
Temporary Right of Way Use Permit,2019-052886 RW,12171496,GRA - KRAMER LN 2000 BLK - OVERLASHING,1816-2011 KRAMER LN,4/22/19,LJA Engineering,5124394719,1
Temporary Right of Way Use Permit,2018-176961 RW,12048962,PW / RJN - Walnut and Little Walnut SSES,5400-5421 AVENUE H,5/31/19,Smith Turrieta Engineering,5125699022,1
Temporary Right of Way Use Permit,2019-027497 RW,12141324,TBG - Guadalupe 1200 blk - Turp for DS,401-421 W 12TH ST,4/14/19,the burt group,5122750881,1
Temporary Right of Way Use Permit,2019-037599 RW,12153199,MEI - W 7th St. 200-220 BLK - Road Closure for Crane Use,200-220 W 7TH ST,4/13/19,,8303123942,1
Temporary Right of Way Use Permit,2017-053594 RW,11716795,AEU - 2801 1/0 Montopolis - Upgrade Equipment,2801 1/2 MONTOPOLIS DR,,Austin Energy,5125057516,10
Temporary Right of Way Use Permit,2013-104407 RW,11027902,TWC - Great Northern Blvd             55841,7944 GREAT NORTHERN BLVD,,TIME WARNER CABLE,5126275640,10
Temporary Right of Way Use Permit,2015-104133 RW,11407565,UCC-150910-02-02 SP-208 Nueces Street,,9/1/19,,5129747912,1092
Temporary Right of Way Use Permit,2015-104133 RW,11407565,UCC-150910-02-02 SP-208 Nueces Street,,9/1/19,KBGE,5124390400,1092
Temporary Right of Way Use Permit,2018-063853 RW,11919168,APD - Safety Closure - Placeholder,200-223 E 6TH ST,4/3/21,COA,5129742841,1097
Temporary Right of Way Use Permit,2017-127824 RW,11804418,DPR - San Jacinto Blvd 100 blk - Marriott - Excavation/Site Const,100-117 SAN JACINTO BLVD,10/7/19,,5038407657,11
Temporary Right of Way Use Permit,2019-007109 RW,12117378,Capitol Construction Group - Brazos St 600 Blk- DUMPSTER & PEDESTRIAN COVERED WALKWAY WITH CHUTE,610 BRAZOS ST,5/15/19,Wuest Group,5123941900,113
Temporary Right of Way Use Permit,2014-010956 RW,11084606,AEU - SAN GABRIEL St 2401 de-energize power lines,2401 SAN GABRIEL ST,,Austin Energy,5125057226,12
Temporary Right of Way Use Permit,2019-014781 RW,12126322,GAATN - N LAMAR BLVD 1000-1017 - Segment 6,1000-1017 N LAMAR BLVD,4/12/19,,5126430838,12
Temporary Right of Way Use Permit,2019-028786 RW,12142862,PW/ S&B - Jarorandi Dr 7300 Bkj - Sealcoat Group 2,7300-7337 JABORANDI DR,5/25/19,City of Austin,5129741545,12
Temporary Right of Way Use Permit,2018-193477 RW,12082470,All Points Inspections - SECONDARY PERMIT - Smoke Testing Sanitary Sewer Cleaning & Television,16600-16633 DALMAHOY DR,8/11/19,All Points Inspection Services,5122725056,120
Temporary Right of Way Use Permit,2019-043991 RW,12160720,Franklin Alan - W 3rd St 600 Blk - Intermintent sidewalk closure,607 W 3RD ST UNIT 110,7/25/19,Franklin-Alan,5124925173,120
Temporary Right of Way Use Permit,2018-202092 RW,12092939,Insituform - Rosewood Ave 2500 Blk - Group B Loc 6,2500-2623 ROSEWOOD AVE,4/30/19,,5122958887,120
Temporary Right of Way Use Permit,2019-017756 RW,12129877,PW / American Grinding Co - Phase 1 2019 Sidewalk Grinding,11401-11410 POWDER MILL TRL,6/25/19,American Grinding Company LLC,6163087136,121
Temporary Right of Way Use Permit,2018-063559 RW,11918831,HOAR - 22nd & Nueces Mixed Use Project,2100-2121 NUECES ST,4/30/19,,512,128
Temporary Right of Way Use Permit,2018-112998 RW,11976577,PSW - Monroe St 600 blk - Deliveries ,1600 S 1ST ST,5/17/19,PSW,2108700844,129
Temporary Right of Way Use Permit,2019-037075 RW,12152582,PW / S&B - Arbor Downs Rd 11500 Blk - Sealcoat 1 Group 15,11500-11516 ARBOR DOWNS RD,8/10/19,City of Austin,5129741545,13
Temporary Right of Way Use Permit,2019-046371 RW,12163549,APOGEE / Brycomm - Pearl St. 2100-2212Blk - 2100 Rio Fiber Install,2212-2229 PEARL ST,4/22/19,BRYMER COMMUNICATION SERVICES,5126268323,14
Temporary Right of Way Use Permit,2019-041624 RW,12157994,PSW - S 1st 900 blk - FLATWORK,900-1019 S 1ST ST,4/21/19,Sun Star Services LLC,5128478780,14
Temporary Right of Way Use Permit,2018-018642 RW,11866861,Sabre - W 5th Street 1000 Blk - DUMPSTER,1000-1025 W 5TH ST,4/12/19,"Sabre Commercial, Inc.",5127677400,14
Temporary Right of Way Use Permit,2019-011846 RW,12123026,ATT - West Oltorf 1210-1317 - Restore Telephone,1210-1317 W OLTORF ST,4/26/19,ATT,5123686224,14
Temporary Right of Way Use Permit,2019-044138 RW,12160939,DFJ - HENDERSON ST 700 BLK - waterproofing Nokonah,600-720 HENDERSON ST,4/14/19,,5126985123,14
Temporary Right of Way Use Permit,2018-200943 RW,12091592,Rand Construction - Brushy St 500 Blk - DUMPSTER,500-517 BRUSHY ST,7/17/19,Rand Construction,5129978239,141
Temporary Right of Way Use Permit,2018-017647 RW,11865740,SWCAFE - CONGRESS AVE 515 - CAVA MEZZE GRILL STREET PATIO,500-525 CONGRESS AVE,5/2/22,,512,1462
Temporary Right of Way Use Permit,2018-178287 RW,12050426,AEU - E Slaughter Ln 2900 Blk - Aerial work,2900-2905 E SLAUGHTER LN,4/30/19,Austin Energy,5125057677,15
Temporary Right of Way Use Permit,2019-037063 RW,12152570,PW / S&B - Puebla Dr 3000 Blk - Sealcoat Group 11,3000-3003 PUEBLA DR,7/13/19,City of Austin,5129741545,15
Temporary Right of Way Use Permit,2019-049987 RW,12167968,LJA / SS - N LAMAR BLVD 3600-400 BLKS - AERIAL CABLE INSTALL,3912-3927 N LAMAR BLVD,4/30/19,LJA Engineering,5124394719,15
Temporary Right of Way Use Permit,2019-045417 RW,12162421,MCI / MASTEC - N LAMAR BLVD 4100-4150 - Flex Install,4100-4150 N LAMAR BLVD,4/12/19,MasTec North America Inc.,5124766777,15
Temporary Right of Way Use Permit,2019-025572 RW,12139115,"Extenet/Corbel - E 15th St 301 1/2 - Small Cell Install  ",1400-1411 SAN JACINTO BLVD,4/20/19,Corbel Communications Industries LLC,2674315269,15
Temporary Right of Way Use Permit,2019-048672 RW,12166373,Bartlett Cocke - Rio Grande 1200 blk - loading zone,1222-1231 RIO GRANDE ST,9/29/19,Sun Star Services LLC,5128478780,155
Temporary Right of Way Use Permit,2013-102024 RW,11023813,AEU - 9405 SHADY OAKS DRIVE,9405 SHADY OAKS DR,,Austin Energy,5125057181,16
Temporary Right of Way Use Permit,2018-197714 RW,12087768,E 5TH ST 100 bLK - Dumpster,401 CONGRESS AVE,5/24/19,Swinerton Builders,5126926640,165
Temporary Right of Way Use Permit,2018-049805 RW,11900738,MPC - Arnold 2 - 1614 E 6th Street - ,1614 E 6TH ST,4/15/19,,2544951316,172
Temporary Right of Way Use Permit,2018-199498 RW,12089895,LV3 / ADB - E Huntland Dr 200 BLK - Aerial Installation,200 E HUNTLAND DR,2/20/20,"Enco Consulting, Inc.",5122613001,18
Temporary Right of Way Use Permit,2018-189967 RW,12078429,Trimbuilt Construction - E 4th St 1800 Blk - DUMPSTER,1800 E 4TH ST,5/10/19,Trimbuilt Construction Inc.,5128321979,180
Temporary Right of Way Use Permit,2019-006818 RW,12117082,Ion Constructors - E 12th St 1300 BLK - Pedestrian Covered Walkway,1322 E 12TH ST,7/9/19,iON Constructors LLC,5124504230,180
Temporary Right of Way Use Permit,2019-023957 RW,12137244,Paradisa - W 22nd St 900-923 - Covered Pedestrian Walkway ,900-923 W 22ND ST,9/6/19,,5129104505,180
Temporary Right of Way Use Permit,2019-021280 RW,12134000,DPR - W 2ND ST 600-617 - Deliveries,600-617 W 2ND ST,8/14/19,DPR Construction,5124357699,180
Temporary Right of Way Use Permit,2016-017809 RW,11487228,GILBANE - W 4TH ST 301 - LONG TERM SETUP,301 W 4TH ST,5/31/19,Gilbane Building Company,7132091852,180
Temporary Right of Way Use Permit,2017-129495 RW,11806377,GILBANE - GUADALUPE ST 401 - exterior masonry install,401 GUADALUPE ST,5/31/19,Gilbane Building Company,7132091852,180
Temporary Right of Way Use Permit,2017-150961 RW,11831824,DPR - San Antonio St 1900 - AC- Autograph Hotel - Long Term Setup,1901 SAN ANTONIO ST,6/8/19,DPR Construction,5125739918,180
Temporary Right of Way Use Permit,2017-156877 RW,11839270,DPR - 310 Comal St - Construction Entrance & Alley Use - Foundry,300-317 COMAL ST,4/30/19,,8272964235,180
Temporary Right of Way Use Permit,2018-059916 RW,11914491,DPR - Nueces St 206 1/2 - Dumpster,206 1/2 NUECES ST,10/2/19,,5125165536,180
Temporary Right of Way Use Permit,2018-169450 RW,12040424,JEDunn - San Gabriel 2402 - (Alley) Hilltop Lane Closure,2400-2424 SAN GABRIEL ST,10/1/19,J E Dunn Construction,5127485127,180
Temporary Right of Way Use Permit,2018-180520 RW,12061327,DCA / HOLDER - Colorado St 300 Blk - Pedestrian Covered Walkway,300 COLORADO ST,5/6/19,,3345590968,180
Temporary Right of Way Use Permit,2018-154537 RW,12023238,Austin Commercial - 1111 S. Congress Ave - Music Lane Mixed Use,1111 S CONGRESS AVE,8/26/19,,5125746615,180
Temporary Right of Way Use Permit,2018-154855 RW,12023605,Motivado - 2401 Rio - Vertical,600-710 W 24TH HALF ST,4/30/19,Wuest Group,5123941900,180
Temporary Right of Way Use Permit,2018-156083 RW,12025100,JE DUNN - W 6TH ST 600-620  - Hilton Canopy,600-620 W 6TH ST,9/1/19,JE Dunn,9727460982,180
Temporary Right of Way Use Permit,2018-181817 RW,12062880,Oden Hughes - Rio Grande St - 2100 Blk - ,2100 RIO GRANDE ST,4/22/19,OHT Construction,8179081419,180
Temporary Right of Way Use Permit,2017-054306 RW,11717661,Austin Commercial - Chicon St 400 blk - Arrive Hotel - General Construction,417-511 CHICON ST,4/21/19,Austin Commercial,5125773679,180
Temporary Right of Way Use Permit,2017-066503 RW,11732279,Gilbane - Guadalupe 400 blk - Pedestrian Walkway,401 GUADALUPE ST,5/31/19,Gilbane Building Company,7132091852,180
Temporary Right of Way Use Permit,2017-130457 RW,11807435,JE Dunn - REd River 2200 blk - St. David's Vertical Expansion - Long Term Set-up,2200-2601 RED RIVER ST,4/22/19,KS Permitting LLC,2108319818,180
Temporary Right of Way Use Permit,2017-151890 RW,11832979,DCA - Nueces St 2200 - The Villas on Nueces,2200-2223 NUECES ST,6/30/19,,512,180
Temporary Right of Way Use Permit,2018-091785 RW,11951854,Austin Commerical - S Congress Ave 1007 - Long Term,1007 S CONGRESS AVE,4/30/19,Austin Commercial,5125746615,180
Temporary Right of Way Use Permit,2018-097633 RW,11958617,HC Beck - 2010 E 6th Street - Phase 2 TCP,2010 E 6TH ST,5/1/19,,(512) 7718591,180
Temporary Right of Way Use Permit,2019-000114 RW,12109597,Franklin Alan - W 49th Street 1200-1313 - Construction Entrance,1200-1313 W 49TH ST,6/30/19,,5123235358,180
Temporary Right of Way Use Permit,2019-008166 RW,12118616,DPR Construction - W. Cesar Chavez 600 blk - Block 185 Sidewalk Closures,600 W CESAR CHAVEZ ST,7/15/19,DPR Construction,5124357699,180
Temporary Right of Way Use Permit,2019-031549 RW,12146139,JE Dunn - Colorado St 400 Blk - Long Term Set Up,405 COLORADO ST,8/28/19,JE Dunn Construction Co.,5126876184,180
Temporary Right of Way Use Permit,2016-048305 RW,11523377,UCC-ATT Windsor Road,1500-1505 RAINBOW BND,,,5128726696,180
Temporary Right of Way Use Permit,2017-102830 RW,11775210,Austin Commercial - 2nd Street - Block 188 Long Term Setup,600-617 W 2ND ST,8/27/19,Austin Commercial,3343205741,180
Temporary Right of Way Use Permit,2017-103104 RW,11775532,Austin Commercial - 1111 S. Congress Ave - Music Lane Mixed Use,1111 S CONGRESS AVE,6/14/19,,5125746615,180
Temporary Right of Way Use Permit,2017-114496 RW,11789066,JB Cumby - 4811 BURNET Construction Entrance ,1200-1313 W 49TH ST,5/28/19,,9037012640,180
Temporary Right of Way Use Permit,2018-073560 RW,11930498,AEU / Asplundh & Wright - 3700 blk Lake Austin Blvd - Distribution Forestry ROW Plan,3700 LAKE AUSTIN BLVD,4/24/19,,5123226930,180
Temporary Right of Way Use Permit,2018-049328 RW,11900149,Oden Hughes - 2100 Rio Grane St - Long Term Set Up and Deliveries,702 W 21ST ST,7/1/19,,8179081419,180
Temporary Right of Way Use Permit,2018-119931 RW,11985024,Bartlett Cocke - Rio Grande St 1212 - Construction Entrance,1212 RIO GRANDE ST,10/17/19,Sun Star Services LLC,5128478780,180
Temporary Right of Way Use Permit,2019-005775 RW,12115859,DPR - San Antonio 1901 (ALLEY) - AC Autograph Hotel,1901 SAN ANTONIO ST,7/27/19,,5124684293,180
Temporary Right of Way Use Permit,2019-046358 RW,12163532,RO - RED RIVER ST 4114 - Construction Entrance,4114 RED RIVER ST,8/31/19,Rogers OBrien,5127486896,180
Temporary Right of Way Use Permit,2019-046552 RW,12163833,R-O - Red River St 95-98 - Site Construction,84-94 RED RIVER ST,10/27/19,Rogers OBrien Construction,7373467466,180
Temporary Right of Way Use Permit,2018-126537 RW,11992644,Panjwani - E 39TH STREET 1000 blk - Construction Entrance,1008-1023 E 39TH ST,6/29/19,Panjwani Energy llc,2818572515,180
Temporary Right of Way Use Permit,2019-009387 RW,12120093,DPR - Construction - W. Cesar Chavez 600 blk - Construction Entrance,600-715 W CESAR CHAVEZ ST,7/15/19,DPR Construction,5124357699,180
Temporary Right of Way Use Permit,2019-016130 RW,12127984,Maple Mult iFamily - Sabine St 1100 Blk - behind the curb closure,1100-1115 SABINE ST,6/11/19,Sun Star Services LLC,5128478780,180
Temporary Right of Way Use Permit,2019-029909 RW,12144229,PSW - W Monroe 600 blk & S 1st St - Pedestrian Covered Walkway,600-621 W MONROE ST,8/28/19,Sun Star Services LLC,5128478780,180
Temporary Right of Way Use Permit,2018-082212 RW,11940778,PSW - W Monroe St 600-621 - Construction Entrance ,600-621 W MONROE ST,5/31/19,,5128478780,180
Temporary Right of Way Use Permit,2018-159054 RW,12028542,DPR Construction - W MLK Blvd 500-111 - Covered Walkway,500-511 W MARTIN LUTHER KING JR BLVD,9/20/19,,5124684293,180
Temporary Right of Way Use Permit,2019-052179 RW,12170690,GCCB - WOODROW AVE 5700 blk - Construction Entrance,5700-5820 WOODROW AVE,10/1/19,,5126771419,180
Temporary Right of Way Use Permit,2018-061457 RW,11916328,Bartlett Cocke - Manor Road Condos - Construction Entrance,2200-2217 POQUITO ST,9/3/19,"Bartlett Cocke, L.P.",5123264223,180
Temporary Right of Way Use Permit,2018-121885 RW,11987346,AEU - DALMAHOY DR 16600-16633 - Commercial Meter Exchange,16600-16633 DALMAHOY DR,7/13/19,Austin Energy,5123226896,180
Temporary Right of Way Use Permit,2018-167635 RW,12038305,Landmark - W 23rd 700 - The Standard at Austin,700-813 W 23RD ST,9/29/19,Landmark Construction,2542201070,180
Temporary Right of Way Use Permit,2018-178236 RW,12050375,Ranger - Brazos St 500 Blk - Long-Term Set up,500-517 BRAZOS ST,4/12/19,Ryan Companies,5126777860,180
Temporary Right of Way Use Permit,2018-158264 RW,12027661,JE Dunn - San Antonio 2204 - ALLEY Closure and LANE BYPASS,2200-2225 SAN ANTONIO ST,9/2/19,J E Dunn Construction,5127485127,180
Temporary Right of Way Use Permit,2015-111931 RW,11416611,UCC-151001-06-01 AWU-Delwood Drive Waterline Improvements,5500-5624 DELWOOD DR,6/13/19,,5129747912,180
Temporary Right of Way Use Permit,2018-074916 RW,11932094,JE Dunn - TFC Phase 1 Capital Complex,1700-1717 BRAZOS ST,6/13/19,JE Dunn,512,180
Temporary Right of Way Use Permit,2016-145651 RW,11638454,Burt Group - 916 Congress - Interior Remodel,900-922 CONGRESS AVE,5/28/19,,5122750881,180
Temporary Right of Way Use Permit,2018-176447 RW,12048388,PW - Blanket Tree Pruning permit throughout City,100-118 SAN ANTONIO ST,10/9/19,City of Austin,4193766475,180
Temporary Right of Way Use Permit,2017-081872 RW,11750597,Western Specialty - 4th St E 500 - reface building with weatherproofing,500-521 E 4TH ST,4/30/19,,5125076004,180
Temporary Right of Way Use Permit,2018-003299 RW,11848470,DPR - Block 71 - Long Term Setup ,200-220 W 7TH ST,9/8/19,DPR Construction,,180
