FOLDERRSN,PROPERTYID
1059622,4373
1059622,8111
1059622,10501
1060023,6977
1062336,335636
1062677,202850
1063021,774854
1063084,1077
1063084,8693
1063315,3185420
1065016,837986
1065551,307850
1065828,14745
1065920,142214
1067284,633344
1067564,896462
1067918,192614
1068115,107792
1068116,212144
1068125,809264
1069185,416540
1069476,712202
1070026,829736
10053747,3047835
10098092,3262863
10108577,658354
10157882,217400
10222806,2042180
10222806,3283815
10299787,3283815
10352814,2041460
10352814,3388288
10719638,2041379
10719638,3148505
10842457,624242
10842457,2018901
10902719,2041511
10902719,5052575
10973309,571976
10973309,2033304
11094864,3555777
11094864,5067435
11095258,5067352
11095258,5067436
11095281,5067352
11095281,5067443
11095379,3555777
11095379,5067426
11097441,176660
11097441,2019695
11097441,2019702
11153385,903770
11153385,2024145
11205584,624290
11205584,2018802
11232515,3313971
11232515,3370272
11233533,428198
11233533,2018603
11373369,246163
11373369,2035570
11382107,2019735
11382107,2019927
11382107,3383218
11385261,624290
11385261,2018802
11385261,2018821
11385261,2018822
11385265,624290
11385265,2018802
11385265,2018821
11385265,2018822
11482408,807164
11482408,2011897
11506130,565540
11506130,2041064
11511542,688886
11511542,2015991
11527300,288020
11527300,2019420
11547658,2039449
11547658,5076604
11547730,508646
11547730,3502094
11595225,304406
11595225,2021856
11596815,92594
11596815,2019354
11612387,180584
11612387,2023695
11655918,845025
11655918,2018901
11661117,2042935
11661117,5382227
11662756,297092
11662756,2017942
11662756,2041008
11669267,5105379
11669267,5105539
11686548,2037152
11686548,5400591
11691738,2018746
11691738,5373738
11697555,3281016
11697555,3281053
11697567,3281016
11697567,3281051
11713550,3260255
11713550,5363194
11720403,2019163
11720403,5316076
11725904,2027792
11725904,2042166
11725904,5189948
11729131,389192
11729131,2021027
11793244,605048
11793244,2019067
11795415,552010
11795415,2033191
11798780,365852
11798780,2033191
11800033,159933
11800033,2017092
11803074,2022825
11803074,5121439
11804793,304736
11804793,2021862
11807190,233830
11807190,2026544
11811296,2037738
11811296,5379422
11812340,2041031
11812340,5358003
11812354,2041031
11812354,5358002
11812374,5002534
11814269,428582
11814269,2018144
11814767,3376407
11814767,5399576
11815448,218918
11815448,2019624
11817914,245976
11817914,2018456
11818713,734050
11818713,2041577
11822976,140228
11822976,2018807
11824074,2018557
11824074,3357871
11824941,2022472
11824941,5420090
11831866,5368731
11831866,5369071
11834227,251597
11834227,2021731
11835863,2022472
11835863,5328682
11842005,5372211
11842005,5464306
11843154,2023946
11843154,5421900
11844080,215270
11844080,2033278
11845888,2017615
11845888,2040938
11845888,5355682
11846079,2019122
11846079,5315332
11846231,215276
11846231,2033278
11846252,215282
11846252,2033278
11848148,2017704
11848148,5468100
11848183,2017638
11848183,2017704
11848183,5468101
11850373,5302708
11850373,5404741
11851102,881858
11851102,2012113
11851421,5358962
11851421,5359877
11854047,3268032
11854047,5473111
11857126,2038299
11857126,5403970
11858264,556228
11858264,2041365
11861116,750915
11861116,2019249
11866722,5109672
11866722,5563213
11868103,641090
11868103,2022806
11868284,101418
11868284,2038882
11869019,860504
11869019,2018774
11869019,2033257
11875732,3195104
11875732,5566986
11876379,2013737
11876379,3372573
11898361,682496
11898361,2018084
11902411,2022965
11902411,5402345
11902511,2023054
11902511,5380558
11903367,2042921
11903367,3354905
11903703,435146
11903703,2011772
11907842,571040
11907842,2041375
11908566,3359638
11908566,5216505
11918716,737930
11918716,2021353
11921211,261344
11921211,2023954
11922373,1163142
11922373,2034020
11922399,682262
11922399,2018108
11922976,264494
11922976,2020421
11924054,2025982
11924054,5406909
11925784,2042166
11925784,5189948
11926320,254760
11926320,2013410
11930938,193298
11930938,2013203
11931718,3267969
11931718,5576038
11935356,2038404
11935356,5306824
11937535,2024265
11937535,5425277
11939330,631058
11939330,2015860
11940113,2033198
11940113,3317577
11940145,2033198
11940145,3317579
11947504,5359771
11947504,5470777
11951730,3270670
11951730,5403970
11958584,137312
11958584,2019511
11961238,300788
11961238,2023960
11963873,2045210
11963873,3371438
11963873,3371439
11963873,5416019
11965237,5470737
11965237,5470782
11967152,5470737
11967152,5470787
11967263,5470740
11967263,5470795
11968609,211159
11968609,2018377
11969523,2022507
11969523,5571326
11971916,481694
11971916,2011736
11972746,5376141
11972746,5376204
11973791,369794
11973791,2023981
11974832,5470737
11974832,5470786
11974931,5470740
11974931,5470804
11975681,5376053
11975681,5376083
11975808,5413837
11975808,5413847
11976491,5358922
11976491,5359841
11977220,5330466
11977220,5330544
11977232,5330466
11977232,5330543
11977251,5330466
11977251,5330542
11977398,5125352
11977398,5125542
11978122,5330466
11978122,5330545
11978462,5413835
11978462,5413894
11978475,5114227
11978475,5114371
11978519,5470740
11978519,5470803
11979094,5470735
11979094,5470778
11979450,2041252
11980818,2025118
11980818,5575072
11981499,5125352
11981499,5125540
11983035,5102915
11983035,5400294
11983179,5330462
11983179,5330529
11983839,159939
11983839,2017092
11983997,5470737
11983997,5470785
11984049,5413835
11984049,5413895
11984164,5413837
11984164,5413856
11984430,5413837
11984430,5413857
11985069,5404730
11985069,5404855
11985083,5404730
11985083,5404824
11985142,5125368
11985142,5125445
11988647,5330466
11988647,5330533
11989676,5330466
11989676,5330546
11989892,5330462
11989892,5330531
11990092,5470743
11990092,5470814
11990810,5330466
11990810,5330537
11991032,5330466
11991032,5330536
11991142,5470737
11991142,5470791
11991156,5330462
11991156,5330530
11991779,361646
11991779,2017997
11991902,5330466
11991902,5330535
11991919,5330466
11991919,5330534
11993561,5125368
11993561,5125452
11993683,3187621
11993683,5368051
11994330,5330488
11994330,5330500
11994472,2019287
11994472,5463565
11995080,159942
11995080,2017092
11995464,5330466
11995464,5330532
11995720,531500
11995720,2031882
11996397,5330466
11996397,5330538
11996464,5358862
11996464,5359829
12000462,5330482
12000462,5330516
12000468,5330482
12000468,5330515
12000776,233830
12000776,2035570
12002082,5404730
12002082,5404822
12002093,5404725
12002093,5405110
12003264,5262420
12003264,5262545
12003405,5363350
12003405,5363715
12003406,5363350
12003406,5363716
12003454,5363722
12003477,5363350
12003477,5363720
12003478,5363350
12003478,5363721
12004837,5358962
12004837,5359865
12004978,5359771
12004978,5470773
12005756,434510
12005756,2015501
12006048,5363350
12006048,5363670
12008063,5414723
12008063,5414766
12019619,5413837
12019619,5413848
12020480,5376139
12020480,5376227
12021478,5418517
12021478,5418562
12022824,5470740
12022824,5470802
12022844,5312743
12022844,5313103
12023784,5426783
12023784,5426959
12023872,137318
12023872,2019511
12024152,2006263
12024657,5424086
12024664,5424095
12025375,5376155
12025375,5376212
12026637,5413837
12026637,5413867
12026646,5418476
12026646,5418623
12026678,5418519
12026678,5418585
12026688,5363350
12026688,5363674
12027026,5330482
12027026,5330518
12027625,5426783
12027625,5426956
12027841,5426783
12027841,5426951
12029199,5413835
12029199,5413878
12031330,2009846
12031330,3372792
12033061,5418529
12033061,5418640
12035751,5410959
12035751,5411017
12035775,2018327
12035775,5561239
12036000,5413837
